programme,mlcourse,ircourse,statcourse,dbcourse,gender,chatGPT,birthday,studentestimate,stand,stress,sporthours,random,bedtime,goodday1,goodday2,stress_level,byear,bmonth
bioinformatics and systems biology,yes,no,mu,nee,non-binary,yes,why do you need to know,0,no,105.0,57.0,42.0,06,alex going to brussels on my birthday,fun lectures at 9am,high,1999,
business analytics,yes,yes,sigma,ja,male,yes,28-11-1997,440,no,0.0,6.0,21.0,23,Weed,Sun,low,1997,11
bioinformatics and systems biology,yes,no,mu,ja,gender fluid,yes,17/3/1995,120,no,87.0,0.0,563912.0,02,Alcohol,Seeing friends,high,1995,3
bioinformatics and systems biology,yes,yes,unknown,ja,female,no,24-01-1998,340,no,45.0,4.0,1789.0,02,Time with friends ,Enough time for relaxation,medium,1998,1
computer science,yes,unknown,unknown,ja,female,not willing to say,2000.8.10,200,unknown,80.0,1.0,810.0,02,No assignment,No presentation,high,2000,8
computational science,yes,no,mu,nee,not willing to answer,yes,2000/04/15,300,no,1.0,2.0,7777777777.0,03,perfect sleep,delicious food,low,2000,4
artificial intelligence,yes,no,mu,nee,male,yes,10-08-2000,320,no,15.0,9.0,1309.0,23,Sports,Food,low,2000,8
artificial intelligence,yes,no,mu,nee,male,yes,10/11,300,no,30.0,4.0,73.0,01,Finish all the things need to be done ,Cooking a delicious meal ,low,1999,11
artificial intelligence,yes,no,sigma,nee,male,yes,2000,200,no,42.24220338983051,6.6204081632653065,1.0,15,Peepee,Poopoo,medium,2000,
econometrics and data science,no,no,mu,nee,female,yes,18-10-2000,240,no,0.0,3.0,144.0,23,Good weather,Being with my friends and/or family,low,2000,10
artificial intelligence,yes,yes,mu,ja,male,yes,14-9-1419,180,no,10.0,8.0,61.0,04,Praying,Gratitude,low,1999,9
artificial intelligence,yes,yes,mu,ja,male,no,02/11,260,no,42.69,8.0,3.0,00,Sunny weather,Lots of free time,medium,1999,11
computer science,yes,yes,mu,ja,male,no,07-06-1998,280,no,10.0,6.0,69.0,02,No obligations,Seeing friends,low,1998,6
artificial intelligence,yes,yes,unknown,ja,male,yes,16-04-1999,0,no,22.5,3.0,0.0,01,"Good weather, for example when the sun is shining at about 25 degrees celcius",Cozy movie watching on a rainy day,low,1999,4
public administration,no,no,unknown,ja,male,yes,15-04-2001,300,no,60.0,5.0,7.0,23,Sunny weather,Spending time with friends,medium,2001,4
unknown,yes,yes,mu,ja,male,yes,14/09/1997,240,no,60.0,3.0,314.0,02,A p-value << 0.05,Winning the lottery,medium,1997,9
bioinformatics and systems biology,yes,no,sigma,nee,female,yes,12-05,300,no,80.0,0.0,7.0,04,no assignment,sunny day,high,1999,5
computer science,yes,no,mu,ja,male,yes,23 August 2002,200,no,0.0,7.0,617848429.0,04,Talking to my girlfriend,Eating authentic indian food,low,2002,08
business analytics,yes,no,mu,ja,female,yes,01-05-2001,200,no,20.0,2.0,78.0,00,Joy,Fun,low,2001,5
business analytics,yes,yes,mu,ja,male,yes,15-11-1999,240,no,15.0,10.0,9005.0,22,Sun,Smilling People,low,1999,11
bioinformatics and systems biology,yes,yes,mu,nee,female,yes,4.20,200,no,99.0,5.0,636.0,03,Food,Game,high,1999,4
artificial intelligence,yes,yes,mu,ja,male,yes,07-12-1997,160,no,55.0,8.0,68.0,22,Sleep,Excercise,medium,1997,12
artificial intelligence,yes,no,unknown,ja,male,yes,07.07.01,160,no,0.0,5.0,6174.0,03,good food,sleeping,low,1999,7
unknown,yes,no,mu,nee,female,yes,09/12/1990,0,no,99.0,3.0,6990.0,02,Kindness,Weather,high,1990,12
bioinformatics and systems biology,yes,no,mu,ja,female,yes,13-02-1999,260,no,0.0,7.0,13.0,03,When I am able to sport,When the sun shines ,low,1999,2
computational science,yes,no,mu,nee,male,yes,22-04,240,no,0.0,4.0,6.0,23,No stress,Being happy,low,2000,4
computer science,no,no,mu,ja,female,yes,21-07-2000,160,no,75.0,2.0,831.0,01,love,game,medium,2000,7
bioinformatics and systems biology,yes,no,mu,nee,male,not willing to say,29/05/2002,160,no,0.0,6.0,42.0,02,achievements,easy cycling,low,2002,5
business analytics,yes,yes,mu,ja,female,yes,26-01-2003,240,no,20.0,1.0,9.0,23,Sunshine,Having good food,low,2003,1
quantitative risk management,no,unknown,unknown,nee,male,yes,13/03/1999,120,no,80.0,4.0,72.0,03,Good weather (Sunny) ,Achieve my personal goals,high,1999,3
bioinformatics and systems biology,yes,no,mu,nee,male,yes,06.09.1999,280,no,31.0,7.0,31.0,00,"Food, gym, friends",-,low,1999,9
computer science,yes,no,mu,nee,male,no,26/12/1997,180,yes,99.0,0.0,1012708299.0,02,coffee,sleep,high,1997,12
econometrics and data science,no,no,mu,nee,female,yes,06/06/2001,280,no,0.0,4.0,11.0,23,Sun,Good food,low,2001,6
software engineering,no,yes,unknown,ja,female,not willing to say,26 November 1998,200,no,90.0,1.0,7.0,23,A day that I feel useful and happiness ,A day that I feel useful and happiness ,high,1998,11
artificial intelligence,yes,yes,sigma,ja,male,yes,29/8/1998,240,no,10.0,12.0,34.0,23,A good coffee after a good gym session,Time free to be productive at home ,low,1998,8
software engineering,yes,yes,mu,ja,female,yes,31-Jan-1982,400,no,10.0,4.0,45.0,00,Accomplishment,Meeting objectives ,low,1982,01
computer science,yes,no,sigma,ja,not willing to answer,yes,6-22,400,unknown,80.0,0.0,114514.0,01,sleep well,holidays,high,2000,6
unknown,no,no,unknown,ja,female,yes,27-03-2001,120,no,0.5,0.0,4.5806252078414897e+21,02,If my chrush likes me back,Sunny day,low,2001,3
econometrics and data science,yes,no,sigma,ja,male,yes,27/02/1998,260,no,63.0,11.0,0.0,22,When I have done some exercise along with a successful day of studying,When I get to meet up with some friends,medium,1998,2
bioinformatics and systems biology,yes,no,mu,nee,gender fluid,not willing to say,04,220,no,1.0,2.0,1001010.0,01,Looking at a mirror,Looking at a selfie,low,1999,
econometrics and data science,unknown,yes,sigma,ja,male,yes,14 may 2001,180,no,56.0,5.0,2.78,23,If i have a relatively relaxing but productive day,If the stockmarket goes up,medium,2001,05
unknown,yes,no,sigma,nee,female,yes,27.06.1998,360,no,34.0,1.0,36952.0,23,"Staying home, with food","Staying home, with food, playing games",low,1998,6
unknown,yes,unknown,unknown,ja,male,yes,17-05-2000,200,unknown,60.0,6.0,6.0,23,Sucess,Food,medium,2000,5
computer science,no,no,sigma,ja,female,yes,26-08-1999,160,no,60.0,3.0,7.0,02,Nice food,Good sleep,medium,1999,8
